,Keds: Style Gallery Banners
,Expandable
,USER IMG,USERNAME,SHOE IMG,SHOE NAME,SHOE PRICE,SHOW LINK
,160 X 600
1,http://static.kedscollective.com/chictopia/31.b.4abbe74162d28.jpg,nachteule,http://www.keds.com/images/us/local/products/detail/WH32662.JPG,Champion Black Leather Bootie,60,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1683%26itemType%3DPRODUCT%26iProductID%3D1683%26pageSuffix%3DRecently+Viewed+Item
2,http://static.kedscollective.com/chictopia/32.b.4abbe743691e4.jpg,nancywanted,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
3,http://static.kedscollective.com/chictopia/30.b.4abbe73f534df.jpg,mmeliantha,http://www.keds.com/images/us/local/products/detail/WF27116.JPG,Champion Bright Blue Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1575%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1575
4,http://static.kedscollective.com/chictopia/41.b.4abbe777eac43.jpg,sooophie,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
5,http://static.kedscollective.com/chictopia/29.b.4abbe73455dea.jpg,melongirl13,http://www.keds.com/images/us/local/products/detail/WF34200.JPG,Champion Navy Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1561%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1561
6,http://static.kedscollective.com/chictopia/33.b.4abbe74601ede.jpg,PainterlyPig,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
7,http://static.kedscollective.com/chictopia/35.b.4abbe74fc0315.jpg,rachieD,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion Red Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1559%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1559
8,http://static.kedscollective.com/chictopia/36.b.4abbe753c7b1e.jpg,patriciadeleon,http://www.keds.com/images/us/local/products/detail/WF31300.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
9,http://static.kedscollective.com/chictopia/40.b.4abbe7742bd85.jpg,shelovesmixtapes,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion Black Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1560%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1560
10,http://static.kedscollective.com/chictopia/37.b.4abbe757a82ca.jpg,Rightnow,http://www.keds.com/images/us/local/products/detail/WF34100.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
11,http://static.kedscollective.com/chictopia/39.b.4abbe771a3854.jpg,sergeantkero,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion Black Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1560%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1560
12,http://static.kedscollective.com/chictopia/39.b.4abbe771a3854.jpg,megz29_29,http://www.keds.com/images/us/local/products/detail/WF34100.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT

,300 x 250
1,http://static.kedscollective.com/chictopia/21.b.4abbe71b01c5c.jpg,JonathanCurtis,http://www.keds.com/images/us/local/products/detail/MF22598.JPG,Men's Champion Navy Canvas,50,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1522%26itemType%3DPRODUCT%26iMainCat%3D220%26iSubCat%3D221%26iProductID%3D1522
2,http://static.kedscollective.com/chictopia/1.b.4abbe6d8bcfb4.jpg,adelejoanna,,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
3,http://static.kedscollective.com/chictopia/23.b.4abbe720cf7b9.jpg,Lady_Carmen,http://www.keds.com/images/us/local/products/detail/WF34100.JPG,Champion Black Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1560%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1560
4,http://static.kedscollective.com/chictopia/17.b.4abbe70a3615b.jpg,Gboy,http://www.keds.com/images/us/local/products/detail/MF22915.JPG,Men's Champion Black Canvas,50,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1520%26itemType%3DPRODUCT%26iMainCat%3D220%26iSubCat%3D221%26iProductID%3D1520
5,http://static.kedscollective.com/chictopia/22.b.4abbe71db57e5.jpg,karenstarr,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
6,http://static.kedscollective.com/chictopia/3.b.4abbe6df4da4a.jpg,BrittaniJoy,http://www.keds.com/images/us/local/products/detail/WF24700.JPG,Champion Black/Black Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1563%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1563
7,http://static.kedscollective.com/chictopia/14.b.4abbe70171662.jpg,fashionchalet,http://www.keds.com/images/us/local/products/detail/WF34200.JPG,Champion Navy Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1561%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1561
8,http://static.kedscollective.com/chictopia/8.b.4abbe6f0f0946.jpg,charlotteelizabeth,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
9,http://static.kedscollective.com/chictopia/10.b.4abbe6f6bbfde.jpg,daniellee385,http://www.keds.com/images/us/local/products/detail/WF34200.JPG,Champion Navy Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1561%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1561
10,http://static.kedscollective.com/chictopia/9.b.4abbe6f3ab7bc.jpg,ClaireB,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
11,http://static.kedscollective.com/chictopia/5.b.4abbe6e9291af.jpg,celiabedelia,http://www.keds.com/images/us/local/products/detail/WF31300.JPG,Champion Red Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1559%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1559
12,http://static.kedscollective.com/chictopia/4.b.4abbe6e5e6a20.jpg,BUI,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT

,728 X 90
1,http://static.kedscollective.com/chictopia/66.b.4b44f25ed88fd.jpg,fifthofjuly,http://www.keds.com/images/us/local/products/detail/WF24700.JPG,Champion Black/Black Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1563%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1563
2,http://static.kedscollective.com/chictopia/57.b.4b44ef6d88beb.jpg,ladytraveler,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
3,http://static.kedscollective.com/chictopia/59.b.4b44ef160d750.jpg,memoriesineyes,http://www.keds.com/images/us/local/products/detail/WF31300.JPG,Champion Red Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1559%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1559
